timestamp,154743/duration,195902/duration,217834/duration,218002/duration,218003/duration,222854/duration,222855/duration,222856/duration,222857/duration,222858/duration,222859/duration,222860/duration,222861/duration,222862/duration,222863/duration,222864/duration,222865/duration,222866/duration,222867/duration,222868/duration
1504224000,1.0000,1,10.0000,3,2.0000,12.0000,3.0000,1.0000,12.0000,6,4.0000,12.0000,3,1.0000,11.0000,3,4.0000,12.0000,3,4.0000
1504224060,1.0000,1,1.0000,3,1.0000,11.0000,3.0000,1.0000,15.0000,3,1.0000,12.0000,3,1.0000,14.0000,3,1.0000,12.0000,3,1.0000
1504224120,1.0000,1,1.0000,3,1.0000,11.0000,3.0000,1.0000,13.0000,3,1.0000,11.0000,3,1.0000,12.0000,3,1.0000,11.0000,3,1.0000
1504224180,1.0000,2,1.0000,3,1.0000,12.0000,3.0000,1.0000,12.0000,3,1.0000,12.0000,3,1.0000,11.0000,3,1.0000,12.0000,3,1.0000
1504224240,1.0000,1,1.0000,3,1.0000,12.0000,3.0000,1.0000,12.0000,3,1.0000,12.0000,3,1.0000,12.0000,3,1.0000,12.0000,3,1.0000
1504224300,1.0000,1,1.0000,3,1.0000,12.0000,3.0000,1.0000,11.0000,2,1.0000,12.0000,3,1.0000,11.0000,3,1.0000,12.0000,3,1.0000
1504224360,1.0000,1,1.0000,3,1.0000,14.0000,3.0000,1.0000,14.0000,3,1.0000,11.0000,3,1.0000,11.0000,3,1.0000,13.0000,5,6.0000
1504224420,1.0000,2,1.0000,3,1.0000,12.0000,3.0000,1.0000,11.0000,3,4.0000,12.0000,3,1.0000,11.0000,3,1.0000,12.0000,3,1.0000
1504224480,1.0000,435,1.0000,3,1.0000,11.0000,3.0000,1.0000,12.0000,3,1.0000,12.0000,3,1.0000,12.0000,3,1.0000,12.0000,3,1.0000
1504224540,1.0000,1,1.0000,3,1.0000,11.0000,3.0000,1.0000,12.0000,3,1.0000,12.0000,3,1.0000,11.0000,3,1.0000,11.0000,3,1.0000
1504224600,1.0000,1,1.0000,3,1.0000,12.0000,3.0000,1.0000,12.0000,3,1.0000,11.0000,3,1.0000,12.0000,3,1.0000,12.0000,3,1.0000
1504224660,1.0000,1,1.0000,3,1.0000,11.0000,3.0000,1.0000,12.0000,3,3.0000,12.0000,3,1.0000,12.0000,3,1.0000,12.0000,3,1.0000
1504224720,1.0000,2,1.0000,3,1.0000,11.0000,3.0000,1.0000,12.0000,3,1.0000,12.0000,3,1.0000,12.0000,3,1.0000,13.0000,3,1.0000
1504224780,1.0000,2,1.0000,3,1.0000,12.0000,3.0000,1.0000,12.0000,3,1.0000,11.0000,3,1.0000,12.0000,3,1.0000,11.0000,3,1.0000
1504224840,1.0000,2,5.0000,3,1.0000,12.0000,3.0000,1.0000,12.0000,3,1.0000,12.0000,3,1.0000,12.0000,3,1.0000,12.0000,3,1.0000
1504224900,1.0000,2,1.0000,3,1.0000,11.0000,3.0000,1.0000,12.0000,3,1.0000,11.0000,3,1.0000,13.0000,3,1.0000,11.0000,3,1.0000
1504224960,1.0000,1,1.0000,3,1.0000,13.0000,3.0000,1.0000,12.0000,3,1.0000,11.0000,3,1.0000,13.0000,3,1.0000,12.0000,3,1.0000
1504225020,1.0000,2,1.0000,3,1.0000,13.0000,3.0000,1.0000,11.0000,3,1.0000,13.0000,3,1.0000,12.0000,3,1.0000,12.0000,3,1.0000
1504225080,1.0000,4,1.0000,3,1.0000,11.0000,3.0000,1.0000,13.0000,3,1.0000,12.0000,3,1.0000,12.0000,3,1.0000,12.0000,3,1.0000
1504225140,1.0000,1,1.0000,3,1.0000,12.0000,3.0000,1.0000,12.0000,3,7.0000,12.0000,3,1.0000,13.0000,3,1.0000,11.0000,3,1.0000
1504225200,1.0000,1,1.0000,3,1.0000,11.0000,3.0000,1.0000,12.0000,3,1.0000,12.0000,4,1.0000,12.0000,3,1.0000,12.0000,3,1.0000
1504225260,1.0000,1,1.0000,3,1.0000,12.0000,3.0000,1.0000,12.0000,5,1.0000,12.0000,3,1.0000,12.0000,3,1.0000,12.0000,3,1.0000
1504225320,1.0000,2,1.0000,3,1.0000,12.0000,3.0000,1.0000,12.0000,6,1.0000,12.0000,3,1.0000,11.0000,3,1.0000,12.0000,3,1.0000
1504225380,1.0000,1,1.0000,3,1.0000,12.0000,3.0000,1.0000,11.0000,3,1.0000,12.0000,3,1.0000,11.0000,3,1.0000,11.0000,3,1.0000
1504225440,1.0000,1,1.0000,3,1.0000,12.0000,3.0000,1.0000,12.0000,3,1.0000,12.0000,3,1.0000,12.0000,3,1.0000,12.0000,3,1.0000
1504225500,1.0000,1,1.0000,3,1.0000,11.0000,3.0000,1.0000,12.0000,3,1.0000,12.0000,3,1.0000,12.0000,3,1.0000,12.0000,3,1.0000
1504225560,1.0000,1,1.0000,4,1.0000,12.0000,3.0000,1.0000,12.0000,3,1.0000,11.0000,3,1.0000,12.0000,3,1.0000,11.0000,3,1.0000
